总类别,子类别,商标名,商标图片地址,txt地址
穿着-装扮,服装配饰,Chevignon,./穿着-装扮/服装配饰/Chevignon/18083887937_207x90.gif,./穿着-装扮/服装配饰/Chevignon/卓活(香港)有限公司.txt
穿着-装扮,鞋袜-箱包,大东DUSTO,./穿着-装扮/鞋袜-箱包/大东DUSTO/18084268689_207x90.gif,./穿着-装扮/鞋袜-箱包/大东DUSTO/浙江大东鞋业有限公司.txt
穿着-装扮,香水彩妆,OLERACE澳蕾丝,./穿着-装扮/香水彩妆/OLERACE澳蕾丝/14532281452_207x90.gif,./穿着-装扮/香水彩妆/OLERACE澳蕾丝/西安莱茵商贸有限公司.txt
穿着-装扮,服装配饰,李宁KIDS,./穿着-装扮/服装配饰/李宁KIDS/21423990837_207x90.gif,./穿着-装扮/服装配饰/李宁KIDS/李宁(中国)体育用品有限公司.txt
穿着-装扮,美发-护发,Rejoice飘柔,./穿着-装扮/美发-护发/Rejoice飘柔/12040741817_207x90.gif,./穿着-装扮/美发-护发/Rejoice飘柔/宝洁(中国)有限公司.txt
穿着-装扮,鞋袜-箱包,BALLY巴利,./穿着-装扮/鞋袜-箱包/BALLY巴利/16421041516_207x90.gif,./穿着-装扮/鞋袜-箱包/BALLY巴利/巴丽(上海)商业有限公司.txt
穿着-装扮,时尚潮流,MiuMiu缪缪,./穿着-装扮/时尚潮流/MiuMiu缪缪/16421552199_207x90.gif,./穿着-装扮/时尚潮流/MiuMiu缪缪/普拉达时装商业(上海)有限公司.txt
穿着-装扮,面部护肤,Kiehl's科颜氏,./穿着-装扮/面部护肤/Kiehl's科颜氏/18023944481_207x90.gif,./穿着-装扮/面部护肤/Kiehl's科颜氏/欧莱雅(中国)有限公司.txt
穿着-装扮,服装配饰,AndrewMarc,./穿着-装扮/服装配饰/AndrewMarc/18051367604_207x90.gif,./穿着-装扮/服装配饰/AndrewMarc/杭州基斯瑞服装贸易有限公司.txt
穿着-装扮,珠宝首饰,艺达饰品YD,./穿着-装扮/珠宝首饰/艺达饰品YD/22041782030_207x90.gif,./穿着-装扮/珠宝首饰/艺达饰品YD/义乌市亿恒饰品有限公司.txt
穿着-装扮,鞋袜-箱包,帮登BANGDENG,./穿着-装扮/鞋袜-箱包/帮登BANGDENG/17594884002_207x90.gif,./穿着-装扮/鞋袜-箱包/帮登BANGDENG/福建省南安市帮登鞋业有限公司.txt
穿着-装扮,服装配饰,红孩儿redkids,./穿着-装扮/服装配饰/红孩儿redkids/17594949866_207x90.gif,./穿着-装扮/服装配饰/红孩儿redkids/红孩儿(中国)有限公司.txt
穿着-装扮,运动鞋服,双林SUNLIN,./穿着-装扮/运动鞋服/双林SUNLIN/17595116824_207x90.gif,./穿着-装扮/运动鞋服/双林SUNLIN/浙江省义乌市长缨体育用品有限公司.txt
穿着-装扮,运动鞋服,普为特POVIT,./穿着-装扮/运动鞋服/普为特POVIT/17595131775_207x90.gif,./穿着-装扮/运动鞋服/普为特POVIT/东莞市康星运动用品有限公司.txt
